East Asia & Pacific (excluding high income),132.7126152
East Asia & Pacific (IDA & IBRD countries),132.0851995
Euro area,129.4490153
Europe & Central Asia,33.67869362
Europe & Central Asia (excluding high income),11.19370378
Europe & Central Asia (IDA & IBRD countries),20.14481016
European Union,111.8901397
Fragile and conflict affected situations,48.98091186
Heavily indebted poor countries (HIPC),44.40150197
High income,39.49830369
IBRD only,68.95810249
IDA & IBRD total,69.70376213
IDA blend,136.0683308
IDA only,58.20574129
IDA total,71.81335878
Late-demographic dividend,52.18102574
Latin America & Caribbean,32.68650065
Latin America & Caribbean (excluding high income),33.02873126
Latin America & the Caribbean (IDA & IBRD countries),32.11368221
Least developed countries: UN classification,53.8672375
Low & middle income,69.07887425
Low income,46.47243147
Lower middle income,124.2203538
Middle East & North Africa,43.34221705
Middle East & North Africa (excluding high income),48.41396177
Middle East & North Africa (IDA & IBRD countries),47.87726576
Middle income,73.30456355
North America,20.64836152
Not classified,..
OECD members,38.83107
Other small states,6.863633365
Pacific island small states,40.56388153
Post-demographic dividend,35.82628558
Pre-demographic dividend,49.78379646
Small states,7.86807639
South Asia,398.7135762
South Asia (IDA & IBRD),398.7135762
Sub-Saharan Africa,49.43994733
Sub-Saharan Africa (excluding high income),49.43674455
Sub-Saharan Africa (IDA & IBRD countries),49.43994733
Upper middle income,51.02017316
World,60.78829252
